CMA,Province,Country,Attribute,Selection
Calgary, Alberta,Canada,Province, Alberta
Edmonton, Alberta,Canada,Province, Alberta
Greater Sudbury, Ontario,Canada,Province, Ontario
Guelph, Ontario,Canada,Province, Ontario
Halifax, Nova Scotia,Canada,Province, Nova Scotia
Hamilton, Ontario,Canada,Province, Ontario
Kelowna, British Columbia,Canada,Province, British Columbia
Kingston, Ontario,Canada,Province, Ontario
Kitchener-Cambridge-Waterloo, Ontario,Canada,Province, Ontario
Lethbridge, Alberta,Canada,Province, Alberta
London, Ontario,Canada,Province, Ontario
Moncton, New Brunswick,Canada,Province, New Brunswick
Montreal, Quebec,Canada,Province, Quebec
Oshawa, Ontario,Canada,Province, Ontario
Ottawa, Ontario,Canada,Province, Ontario
Ottawa-Gatineau, Ontario/Quebec,Canada,Province, Ontario/Quebec
Gatineau, Quebec,Canada,Province, Quebec
Peterborough, Ontario,Canada,Province, Ontario
Quebec, Quebec,Canada,Province, Quebec
Regina, Saskatchewan,Canada,Province, Saskatchewan
Saguenay, Quebec,Canada,Province, Quebec
Saint John, New Brunswick,Canada,Province, New Brunswick
Saskatoon, Saskatchewan,Canada,Province, Saskatchewan
Sherbrooke, Quebec,Canada,Province, Quebec
St. Catharines-Niagara, Ontario,Canada,Province, Ontario
St. John's, Newfoundland and Labrador,Canada,Province, Newfoundland and Labrador
Thunder Bay, Ontario,Canada,Province, Ontario
Toronto, Ontario,Canada,Province, Ontario
Trois-Rivieres, Quebec,Canada,Province, Quebec
Vancouver, British Columbia,Canada,Province, British Columbia
Victoria, British Columbia,Canada,Province, British Columbia
Windsor, Ontario,Canada,Province, Ontario
Winnipeg, Manitoba,Canada,Province, Manitoba
Abbotsford - Mission, British Columbia,Canada,Province, British Columbia
Kitchener - Cambridge - Waterloo, Ontario,Canada,Province, Ontario
Trois-Rivières, Quebec,Canada,Province, Quebec
Montréal, Quebec,Canada,Province, Quebec
St. Catharines - Niagara, Ontario,Canada,Province, Ontario
Ottawa - Gatineau, Ontario/Quebec,Canada,Province, Ontario/Quebec
Prince Edward Island,Prince Edward Island,Canada,Province,Prince Edward Island
Northwest Territories,Northwest Territories,Canada,Province,Northwest Territories
Nunavut,Nunavut,Canada,Province,Nunavut
Yukon,Yukon,Canada,Province,Yukon
Alberta,Alberta,Canada,Province,Alberta
Québec, Quebec,Canada,Province, Quebec
Abbotsford-Mission, British Columbia,Canada,CMA,Abbotsford-Mission
Barrie, Ontario,Canada,CMA,Barrie
Belleville, Ontario,Canada,CMA,Belleville
Brantford, Ontario,Canada,CMA,Brantford
Calgary, Alberta,Canada,CMA,Calgary
Edmonton, Alberta,Canada,CMA,Edmonton
Greater Sudbury, Ontario,Canada,CMA,Greater Sudbury
Guelph, Ontario,Canada,CMA,Guelph
Halifax, Nova Scotia,Canada,CMA,Halifax
Hamilton, Ontario,Canada,CMA,Hamilton
Kelowna, British Columbia,Canada,CMA,Kelowna
Kingston, Ontario,Canada,CMA,Kingston
Kitchener-Cambridge-Waterloo, Ontario,Canada,CMA,Kitchener-Cambridge-Waterloo
Lethbridge, Alberta,Canada,CMA,Lethbridge
London, Ontario,Canada,CMA,London
Moncton, New Brunswick,Canada,CMA,Moncton
Montreal, Quebec,Canada,CMA,Montreal
Oshawa, Ontario,Canada,CMA,Oshawa
Ottawa, Ontario,Canada,CMA,Ottawa
Ottawa-Gatineau, Ontario/Quebec,Canada,CMA,Ottawa-Gatineau
Gatineau, Quebec,Canada,CMA,Gatineau
Peterborough, Ontario,Canada,CMA,Peterborough
Quebec, Quebec,Canada,CMA,Quebec
Regina, Saskatchewan,Canada,CMA,Regina
Saguenay, Quebec,Canada,CMA,Saguenay
Saint John, New Brunswick,Canada,CMA,Saint John
Saskatoon, Saskatchewan,Canada,CMA,Saskatoon
Sherbrooke, Quebec,Canada,CMA,Sherbrooke
St. Catharines-Niagara, Ontario,Canada,CMA,St. Catharines-Niagara
St. John's, Newfoundland and Labrador,Canada,CMA,St. John's
Thunder Bay, Ontario,Canada,CMA,Thunder Bay
Toronto, Ontario,Canada,CMA,Toronto
Trois-Rivieres, Quebec,Canada,CMA,Trois-Rivieres
Vancouver, British Columbia,Canada,CMA,Vancouver
Victoria, British Columbia,Canada,CMA,Victoria
Windsor, Ontario,Canada,CMA,Windsor
Winnipeg, Manitoba,Canada,CMA,Winnipeg
Prince Edward Island,Prince Edward Island,Canada,CMA,Prince Edward Island
Northwest Territories,Northwest Territories,Canada,CMA,Northwest Territories
Nunavut,Nunavut,Canada,CMA,Nunavut
Yukon,Yukon,Canada,CMA,Yukon
Alberta,Alberta,Canada,CMA,Alberta
Quebec, Quebec,Canada,CMA,Quebec
