"","Year","Month","GEO","Value","Type"
"141",2001," Apr","Edmonton"," $60.51","Revenue per Available Room"
"142",2001," Apr","Regina"," $48.68","Revenue per Available Room"
"143",2001," Apr","Winnipeg"," $53.3","Revenue per Available Room"
"144",2001," Apr","Greater Montreal"," $72.37","Revenue per Available Room"
"145",2001," Apr","Downtown Montreal"," $73.46","Revenue per Available Room"
"146",2001," Apr","Montreal Airport Laval"," $69.8","Revenue per Available Room"
"147",2001," Apr","Greater Quebec City"," $90.86","Revenue per Available Room"
"148",2001," Apr","Moncton"," $46.37","Revenue per Available Room"
"149",2001," Apr","Halifax Dartmouth"," $67.04","Revenue per Available Room"
"150",2001," Apr","St Johns"," $61.08","Revenue per Available Room"
"151",2001," Apr","Canada"," $63.98","Revenue per Available Room"
"152",2001," Apr","British Columbia"," $63","Revenue per Available Room"
"153",2001," Apr","Manitoba"," $52.12","Revenue per Available Room"
"154",2001," Apr","New Brunswick"," $41.83","Revenue per Available Room"
"155",2001," Apr","Nova Scotia"," $56.53","Revenue per Available Room"
"156",2001," Apr","Ontario"," $70.78","Revenue per Available Room"
"157",2001," Apr","Quebec"," $66.99","Revenue per Available Room"
"158",2001," Apr","Saskatchewan"," $45.26","Revenue per Available Room"
"159",2001," Apr","Newfoundland"," $49.77","Revenue per Available Room"
"160",2001," Aug","Southern Ontario"," $126.39","Average Daily Rate"
"161",2001," Aug","Kitchener Waterloo Cambridge Guelph"," $95.98","Average Daily Rate"
"162",2001," Aug","Hamilton Brantford"," $80.51","Average Daily Rate"
"163",2001," Aug","North Eastern Ontario"," $87.29","Average Daily Rate"
"164",2001," Aug","North Bay"," $97.88","Average Daily Rate"
"165",2001," Aug","Sudbury"," $87.48","Average Daily Rate"
"166",2001," Aug","North Central Ontario"," $0","Average Daily Rate"
"167",2001," Aug","Sault Ste Marie"," $95.18","Average Daily Rate"
"168",2001," Aug","North Western Ontario"," $87.53","Average Daily Rate"
"169",2001," Aug","Thunder Bay"," ","Average Daily Rate"
"170",2001," Aug","Greater Toronto Area"," $131.38","Average Daily Rate"
"171",2001," Aug","Downtown Toronto"," $168.58","Average Daily Rate"
"172",2001," Aug","Toronto Airport"," $112.88","Average Daily Rate"
"173",2001," Aug","GTA West"," $98.5","Average Daily Rate"
"174",2001," Aug","GTA East North"," $108.07","Average Daily Rate"
"175",2001," Aug","London"," $95.07","Average Daily Rate"
"176",2001," Aug","Windsor"," $111.82","Average Daily Rate"
"177",2001," Aug","Niagara Falls"," $174.37","Average Daily Rate"
"178",2001," Aug","Other Niagara Region"," $99.32","Average Daily Rate"
"179",2001," Aug","Other Southern Ontario"," $100.19","Average Daily Rate"
"180",2001," Aug","Eastern Ontario"," $103.94","Average Daily Rate"
"181",2001," Aug","Kingston"," $117.67","Average Daily Rate"
"182",2001," Aug","Other Eastern Ontario"," $95.7","Average Daily Rate"
"183",2001," Aug","Ottawa"," $122.74","Average Daily Rate"
"184",2001," Aug","Downtown Ottawa"," $129.53","Average Daily Rate"
"185",2001," Aug","Ottawa West"," $108.99","Average Daily Rate"
"186",2001," Aug","Ottawa East"," $91.03","Average Daily Rate"
"187",2001," Aug","Greater Vancouver"," $143.75","Average Daily Rate"
"188",2001," Aug","Central Ontario"," $139.63","Average Daily Rate"
"189",2001," Aug","Downtown Vancouver"," $178.35","Average Daily Rate"
"190",2001," Aug","Vancouver Island"," $152.9","Average Daily Rate"
"191",2001," Aug","Whistler Resort Area"," $157.74","Average Daily Rate"
"192",2001," Aug","Alberta Resorts"," $281.92","Average Daily Rate"
"193",2001," Aug","Calgary"," $104.36","Average Daily Rate"
"194",2001," Aug","Edmonton"," $124.31","Average Daily Rate"
"195",2001," Aug","Regina"," $77.62","Average Daily Rate"
"196",2001," Aug","Winnipeg"," $93.31","Average Daily Rate"
"197",2001," Aug","Greater Montreal"," $138.3","Average Daily Rate"
"198",2001," Aug","Downtown Montreal"," $149.59","Average Daily Rate"
"199",2001," Aug","Montreal Airport Laval"," $99.67","Average Daily Rate"
"200",2001," Aug","Greater Quebec City"," $171.58","Average Daily Rate"
"201",2001," Aug","Moncton"," $95.51","Average Daily Rate"
"202",2001," Aug","Halifax Dartmouth"," $119.68","Average Daily Rate"
"203",2001," Aug","St Johns"," $105.67","Average Daily Rate"
"204",2001," Aug","Canada"," $126.78","Average Daily Rate"
"205",2001," Aug","British Columbia"," $135.94","Average Daily Rate"
"206",2001," Aug","Manitoba"," $86.75","Average Daily Rate"
"207",2001," Aug","New Brunswick"," $97.16","Average Daily Rate"
"208",2001," Aug","Nova Scotia"," $111.56","Average Daily Rate"
"209",2001," Aug","Ontario"," $125.03","Average Daily Rate"
"210",2001," Aug","Quebec"," $137.12","Average Daily Rate"
"211",2001," Aug","Saskatchewan"," $78.3","Average Daily Rate"
"212",2001," Aug","Newfoundland"," $95.4","Average Daily Rate"
"213",2001," Aug","Southern Ontario"," 76.5%","Hotel Occupancy Rate"
"214",2001," Aug","Kitchener Waterloo Cambridge Guelph"," 73.9%","Hotel Occupancy Rate"
"215",2001," Aug","Hamilton Brantford"," 67.9%","Hotel Occupancy Rate"
"216",2001," Aug","North Eastern Ontario"," 75.2%","Hotel Occupancy Rate"
"217",2001," Aug","North Bay"," 80.5%","Hotel Occupancy Rate"
"218",2001," Aug","Sudbury"," 78.7%","Hotel Occupancy Rate"
"219",2001," Aug","North Central Ontario"," 0%","Hotel Occupancy Rate"
"220",2001," Aug","Sault Ste Marie"," 81%","Hotel Occupancy Rate"
"221",2001," Aug","North Western Ontario"," 85.6%","Hotel Occupancy Rate"
"222",2001," Aug","Thunder Bay"," ","Hotel Occupancy Rate"
"223",2001," Aug","Greater Toronto Area"," 77.9%","Hotel Occupancy Rate"
"224",2001," Aug","Downtown Toronto"," 79.4%","Hotel Occupancy Rate"
"225",2001," Aug","Toronto Airport"," 72.8%","Hotel Occupancy Rate"
"226",2001," Aug","GTA West"," 78.2%","Hotel Occupancy Rate"
"227",2001," Aug","GTA East North"," 79.1%","Hotel Occupancy Rate"
"228",2001," Aug","London"," 68.2%","Hotel Occupancy Rate"
"229",2001," Aug","Windsor"," 68%","Hotel Occupancy Rate"
"230",2001," Aug","Niagara Falls"," 91.6%","Hotel Occupancy Rate"
"231",2001," Aug","Other Niagara Region"," 74.2%","Hotel Occupancy Rate"
"232",2001," Aug","Other Southern Ontario"," 67.1%","Hotel Occupancy Rate"
"233",2001," Aug","Eastern Ontario"," 79.1%","Hotel Occupancy Rate"
"234",2001," Aug","Kingston"," 82.9%","Hotel Occupancy Rate"
"235",2001," Aug","Other Eastern Ontario"," 77%","Hotel Occupancy Rate"
"236",2001," Aug","Ottawa"," 71.7%","Hotel Occupancy Rate"
"237",2001," Aug","Downtown Ottawa"," 71.2%","Hotel Occupancy Rate"
"238",2001," Aug","Ottawa West"," 75.6%","Hotel Occupancy Rate"
"239",2001," Aug","Ottawa East"," 70.2%","Hotel Occupancy Rate"
"240",2001," Aug","Greater Vancouver"," 84.6%","Hotel Occupancy Rate"
"241",2001," Aug","Central Ontario"," 84.5%","Hotel Occupancy Rate"
"242",2001," Aug","Downtown Vancouver"," 85.1%","Hotel Occupancy Rate"
"243",2001," Aug","Vancouver Island"," 82.8%","Hotel Occupancy Rate"
"244",2001," Aug","Whistler Resort Area"," 59%","Hotel Occupancy Rate"
"245",2001," Aug","Alberta Resorts"," 89.4%","Hotel Occupancy Rate"
"246",2001," Aug","Calgary"," 74.7%","Hotel Occupancy Rate"
"247",2001," Aug","Edmonton"," 86.1%","Hotel Occupancy Rate"
"248",2001," Aug","Regina"," 69.8%","Hotel Occupancy Rate"
"249",2001," Aug","Winnipeg"," 63.4%","Hotel Occupancy Rate"
"250",2001," Aug","Greater Montreal"," 86.8%","Hotel Occupancy Rate"
"251",2001," Aug","Downtown Montreal"," 87.2%","Hotel Occupancy Rate"
"252",2001," Aug","Montreal Airport Laval"," 86%","Hotel Occupancy Rate"
"253",2001," Aug","Greater Quebec City"," 87%","Hotel Occupancy Rate"
"254",2001," Aug","Moncton"," 78.1%","Hotel Occupancy Rate"
"255",2001," Aug","Halifax Dartmouth"," 92.3%","Hotel Occupancy Rate"
"256",2001," Aug","St Johns"," 81.8%","Hotel Occupancy Rate"
"257",2001," Aug","Canada"," 78.6%","Hotel Occupancy Rate"
"258",2001," Aug","British Columbia"," 79.5%","Hotel Occupancy Rate"
"259",2001," Aug","Manitoba"," 61.6%","Hotel Occupancy Rate"
"260",2001," Aug","New Brunswick"," 77.6%","Hotel Occupancy Rate"
"261",2001," Aug","Nova Scotia"," 90.2%","Hotel Occupancy Rate"
"262",2001," Aug","Ontario"," 77.3%","Hotel Occupancy Rate"
"263",2001," Aug","Quebec"," 83.4%","Hotel Occupancy Rate"
"264",2001," Aug","Saskatchewan"," 67.2%","Hotel Occupancy Rate"
"265",2001," Aug","Newfoundland"," 77.5%","Hotel Occupancy Rate"
"266",2001," Aug","Southern Ontario"," $96.73","Revenue per Available Room"
"267",2001," Aug","Kitchener Waterloo Cambridge Guelph"," $70.95","Revenue per Available Room"
"268",2001," Aug","Hamilton Brantford"," $54.64","Revenue per Available Room"
"269",2001," Aug","North Eastern Ontario"," $65.67","Revenue per Available Room"
"270",2001," Aug","North Bay"," $78.78","Revenue per Available Room"
"271",2001," Aug","Sudbury"," $68.82","Revenue per Available Room"
"272",2001," Aug","North Central Ontario"," $0","Revenue per Available Room"
"273",2001," Aug","Sault Ste Marie"," $77.11","Revenue per Available Room"
"274",2001," Aug","North Western Ontario"," $74.89","Revenue per Available Room"
"275",2001," Aug","Thunder Bay"," ","Revenue per Available Room"
"276",2001," Aug","Greater Toronto Area"," $102.3","Revenue per Available Room"
"277",2001," Aug","Downtown Toronto"," $133.9","Revenue per Available Room"
"278",2001," Aug","Toronto Airport"," $82.2","Revenue per Available Room"
"279",2001," Aug","GTA West"," $76.99","Revenue per Available Room"
"280",2001," Aug","GTA East North"," $85.53","Revenue per Available Room"
"281",2001," Aug","London"," $64.86","Revenue per Available Room"
"282",2001," Aug","Windsor"," $76.02","Revenue per Available Room"
"283",2001," Aug","Niagara Falls"," $159.8","Revenue per Available Room"
"284",2001," Aug","Other Niagara Region"," $73.67","Revenue per Available Room"
"285",2001," Aug","Other Southern Ontario"," $67.24","Revenue per Available Room"
"286",2001," Aug","Eastern Ontario"," $82.23","Revenue per Available Room"
"287",2001," Aug","Kingston"," $97.5","Revenue per Available Room"
"288",2001," Aug","Other Eastern Ontario"," $73.72","Revenue per Available Room"
"289",2001," Aug","Ottawa"," $87.95","Revenue per Available Room"
"290",2001," Aug","Downtown Ottawa"," $92.22","Revenue per Available Room"
"291",2001," Aug","Ottawa West"," $82.35","Revenue per Available Room"
"292",2001," Aug","Ottawa East"," $63.92","Revenue per Available Room"
"293",2001," Aug","Greater Vancouver"," $121.55","Revenue per Available Room"
"294",2001," Aug","Central Ontario"," $117.98","Revenue per Available Room"
"295",2001," Aug","Downtown Vancouver"," $151.74","Revenue per Available Room"
"296",2001," Aug","Vancouver Island"," $126.65","Revenue per Available Room"
"297",2001," Aug","Whistler Resort Area"," $93.1","Revenue per Available Room"
"298",2001," Aug","Alberta Resorts"," $252.11","Revenue per Available Room"
"299",2001," Aug","Calgary"," $77.94","Revenue per Available Room"
"300",2001," Aug","Edmonton"," $106.98","Revenue per Available Room"
"301",2001," Aug","Regina"," $54.14","Revenue per Available Room"
"302",2001," Aug","Winnipeg"," $59.13","Revenue per Available Room"
"303",2001," Aug","Greater Montreal"," $120.07","Revenue per Available Room"
"304",2001," Aug","Downtown Montreal"," $130.5","Revenue per Available Room"
"305",2001," Aug","Montreal Airport Laval"," $85.75","Revenue per Available Room"
"306",2001," Aug","Greater Quebec City"," $149.26","Revenue per Available Room"
"307",2001," Aug","Moncton"," $74.64","Revenue per Available Room"
"308",2001," Aug","Halifax Dartmouth"," $110.42","Revenue per Available Room"
"309",2001," Aug","St Johns"," $86.48","Revenue per Available Room"
"310",2001," Aug","Canada"," $99.63","Revenue per Available Room"
"311",2001," Aug","British Columbia"," $108.13","Revenue per Available Room"
"312",2001," Aug","Manitoba"," $53.44","Revenue per Available Room"
"313",2001," Aug","New Brunswick"," $75.39","Revenue per Available Room"
"314",2001," Aug","Nova Scotia"," $100.64","Revenue per Available Room"
"315",2001," Aug","Ontario"," $96.64","Revenue per Available Room"
"316",2001," Aug","Quebec"," $114.37","Revenue per Available Room"
"317",2001," Aug","Saskatchewan"," $52.58","Revenue per Available Room"
"318",2001," Aug","Newfoundland"," $73.97","Revenue per Available Room"
"319",2001," Dec","Southern Ontario"," $94.79","Average Daily Rate"
"320",2001," Dec","Kitchener Waterloo Cambridge Guelph"," $90.95","Average Daily Rate"
"321",2001," Dec","Hamilton Brantford"," $89.92","Average Daily Rate"
"322",2001," Dec","North Eastern Ontario"," $73.17","Average Daily Rate"
"323",2001," Dec","North Bay"," $77.37","Average Daily Rate"
"324",2001," Dec","Sudbury"," $73.23","Average Daily Rate"
"325",2001," Dec","North Central Ontario"," $0","Average Daily Rate"
"326",2001," Dec","Sault Ste Marie"," $75.37","Average Daily Rate"
"327",2001," Dec","North Western Ontario"," $77.9","Average Daily Rate"
"328",2001," Dec","Thunder Bay"," ","Average Daily Rate"
"329",2001," Dec","Greater Toronto Area"," $116","Average Daily Rate"
"330",2001," Dec","Downtown Toronto"," $136.89","Average Daily Rate"
"331",2001," Dec","Toronto Airport"," $107.85","Average Daily Rate"
"332",2001," Dec","GTA West"," $96.33","Average Daily Rate"
"333",2001," Dec","GTA East North"," $104.41","Average Daily Rate"
"334",2001," Dec","London"," $88.33","Average Daily Rate"
"335",2001," Dec","Windsor"," $102.27","Average Daily Rate"
"336",2001," Dec","Niagara Falls"," $110.13","Average Daily Rate"
"337",2001," Dec","Other Niagara Region"," $76.54","Average Daily Rate"
"338",2001," Dec","Other Southern Ontario"," $83.79","Average Daily Rate"
"339",2001," Dec","Eastern Ontario"," $79.51","Average Daily Rate"
"340",2001," Dec","Kingston"," $79.42","Average Daily Rate"
"341",2001," Dec","Other Eastern Ontario"," $79.57","Average Daily Rate"
"342",2001," Dec","Ottawa"," $116.82","Average Daily Rate"
"343",2001," Dec","Downtown Ottawa"," $121.35","Average Daily Rate"
"344",2001," Dec","Ottawa West"," $104.61","Average Daily Rate"
"345",2001," Dec","Ottawa East"," $92.78","Average Daily Rate"
"346",2001," Dec","Greater Vancouver"," $94.23","Average Daily Rate"
"347",2001," Dec","Central Ontario"," $116.29","Average Daily Rate"
"348",2001," Dec","Downtown Vancouver"," $110.51","Average Daily Rate"
"349",2001," Dec","Vancouver Island"," $86.96","Average Daily Rate"
"350",2001," Dec","Whistler Resort Area"," $251.99","Average Daily Rate"
"351",2001," Dec","Alberta Resorts"," $160.17","Average Daily Rate"
"352",2001," Dec","Calgary"," $95.86","Average Daily Rate"
"353",2001," Dec","Edmonton"," $85.6","Average Daily Rate"
"354",2001," Dec","Regina"," $84.57","Average Daily Rate"
"355",2001," Dec","Winnipeg"," $87.96","Average Daily Rate"
"356",2001," Dec","Greater Montreal"," $116.76","Average Daily Rate"
"357",2001," Dec","Downtown Montreal"," $125.63","Average Daily Rate"
"358",2001," Dec","Montreal Airport Laval"," $93.04","Average Daily Rate"
"359",2001," Dec","Greater Quebec City"," $116.07","Average Daily Rate"
"360",2001," Dec","Moncton"," $81.14","Average Daily Rate"
"361",2001," Dec","Halifax Dartmouth"," $91.89","Average Daily Rate"
"362",2001," Dec","St Johns"," $96.55","Average Daily Rate"
"363",2001," Dec","Canada"," $104.3","Average Daily Rate"
"364",2001," Dec","British Columbia"," $111.13","Average Daily Rate"
"365",2001," Dec","Manitoba"," $82.33","Average Daily Rate"
"366",2001," Dec","New Brunswick"," $76.13","Average Daily Rate"
"367",2001," Dec","Nova Scotia"," $86","Average Daily Rate"
"368",2001," Dec","Ontario"," $106.91","Average Daily Rate"
"369",2001," Dec","Quebec"," $116.63","Average Daily Rate"
"370",2001," Dec","Saskatchewan"," $78.76","Average Daily Rate"
"371",2001," Dec","Newfoundland"," $89.03","Average Daily Rate"
"372",2001," Dec","Southern Ontario"," 38.4%","Hotel Occupancy Rate"
"373",2001," Dec","Kitchener Waterloo Cambridge Guelph"," 50.4%","Hotel Occupancy Rate"
"374",2001," Dec","Hamilton Brantford"," 46.3%","Hotel Occupancy Rate"
"375",2001," Dec","North Eastern Ontario"," 41.3%","Hotel Occupancy Rate"
"376",2001," Dec","North Bay"," 36.5%","Hotel Occupancy Rate"
"377",2001," Dec","Sudbury"," 42.7%","Hotel Occupancy Rate"
"378",2001," Dec","North Central Ontario"," 0%","Hotel Occupancy Rate"
"379",2001," Dec","Sault Ste Marie"," 38.8%","Hotel Occupancy Rate"
"380",2001," Dec","North Western Ontario"," 45.6%","Hotel Occupancy Rate"
"381",2001," Dec","Thunder Bay"," ","Hotel Occupancy Rate"
"382",2001," Dec","Greater Toronto Area"," 43.6%","Hotel Occupancy Rate"
"383",2001," Dec","Downtown Toronto"," 42.7%","Hotel Occupancy Rate"
"384",2001," Dec","Toronto Airport"," 43%","Hotel Occupancy Rate"
"385",2001," Dec","GTA West"," 45.6%","Hotel Occupancy Rate"
"386",2001," Dec","GTA East North"," 44%","Hotel Occupancy Rate"
"387",2001," Dec","London"," 41.7%","Hotel Occupancy Rate"
"388",2001," Dec","Windsor"," 46.6%","Hotel Occupancy Rate"
"389",2001," Dec","Niagara Falls"," 28.8%","Hotel Occupancy Rate"
"390",2001," Dec","Other Niagara Region"," 37.8%","Hotel Occupancy Rate"
"391",2001," Dec","Other Southern Ontario"," 36.7%","Hotel Occupancy Rate"
"392",2001," Dec","Eastern Ontario"," 36.9%","Hotel Occupancy Rate"
"393",2001," Dec","Kingston"," 37.5%","Hotel Occupancy Rate"
